2026-09-08 15:07:16,296 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2025-1941&page_caps=&user_role=
2026-09-08 15:07:16,435 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2025-1941&page_caps=&user_role=
2026-09-08 15:07:17,168 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2025-1941
2026-09-08 15:20:26,973 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-1941&page_caps=&user_role=
2026-09-08 15:20:27,214 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-1941&page_caps=&user_role=
2026-09-08 15:20:27,835 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-1941
2026-09-08 15:20:29,287 | INFO | system=destination_jira event=login_check url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:20:29,324 | INFO | system=destination_jira event=login_submit url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:20:29,700 | INFO | system=destination_jira event=login_success url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:20:29,700 | INFO | system=destination_jira event=open_create_issue url=http://jira.oblteh:8080/secure/CreateIssue!default.jspa
2026-09-08 15:20:30,150 | INFO | system=destination_jira event=open_issue_fields
2026-09-08 15:21:49,205 | INFO | system=destination_jira event=login_check url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:21:49,248 | INFO | system=destination_jira event=login_submit url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:21:49,611 | INFO | system=destination_jira event=login_success url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:21:49,611 | INFO | system=destination_jira event=open_create_issue url=http://jira.oblteh:8080/secure/CreateIssue!default.jspa
2026-09-08 15:21:50,038 | INFO | system=destination_jira event=open_issue_fields
2026-09-08 15:22:21,040 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-1941&page_caps=&user_role=
2026-09-08 15:22:21,182 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-1941&page_caps=&user_role=
2026-09-08 15:22:22,461 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-1941
2026-09-08 15:22:23,492 | INFO | system=destination_jira event=login_check url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:22:23,538 | INFO | system=destination_jira event=login_submit url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:22:23,854 | INFO | system=destination_jira event=login_success url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:22:23,854 | INFO | system=destination_jira event=open_create_issue url=http://jira.oblteh:8080/secure/CreateIssue!default.jspa
2026-09-08 15:22:24,296 | INFO | system=destination_jira event=open_issue_fields
2026-09-08 15:24:08,243 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-1941&page_caps=&user_role=
2026-09-08 15:24:08,377 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-1941&page_caps=&user_role=
2026-09-08 15:24:09,026 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-1941
2026-09-08 15:24:10,458 | INFO | system=destination_jira event=login_check url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:24:10,500 | INFO | system=destination_jira event=login_submit url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:24:10,829 | INFO | system=destination_jira event=login_success url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:24:10,829 | INFO | system=destination_jira event=open_create_issue url=http://jira.oblteh:8080/secure/CreateIssue!default.jspa
2026-09-08 15:24:11,301 | INFO | system=destination_jira event=open_issue_fields
2026-09-08 15:25:08,563 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-1941&page_caps=&user_role=
2026-09-08 15:25:08,704 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-1941&page_caps=&user_role=
2026-09-08 15:25:09,533 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-1941
2026-09-08 15:25:10,529 | INFO | system=destination_jira event=login_check url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:25:10,573 | INFO | system=destination_jira event=login_submit url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:25:10,849 | INFO | system=destination_jira event=login_success url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:25:10,850 | INFO | system=destination_jira event=open_create_issue url=http://jira.oblteh:8080/secure/CreateIssue!default.jspa
2026-09-08 15:25:11,335 | INFO | system=destination_jira event=open_issue_fields
2026-09-08 15:25:46,253 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2025-1941&page_caps=&user_role=
2026-09-08 15:25:46,383 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2025-1941&page_caps=&user_role=
2026-09-08 15:25:47,145 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2025-1941
2026-09-08 15:26:06,657 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2025-1941&page_caps=&user_role=
2026-09-08 15:26:06,789 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2025-1941&page_caps=&user_role=
2026-09-08 15:26:07,291 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2025-1941
2026-09-08 15:26:13,128 | INFO | system=destination_jira event=login_check url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:26:13,167 | INFO | system=destination_jira event=login_submit url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:26:13,546 | INFO | system=destination_jira event=login_success url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:26:13,547 | INFO | system=destination_jira event=open_create_issue url=http://jira.oblteh:8080/secure/CreateIssue!default.jspa
2026-09-08 15:26:14,050 | INFO | system=destination_jira event=open_issue_fields
2026-09-08 15:31:29,257 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2025-1421&page_caps=&user_role=
2026-09-08 15:31:29,387 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2025-1421&page_caps=&user_role=
2026-09-08 15:31:30,105 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/REFACT-6691
2026-09-08 15:32:11,052 | INFO | system=destination_jira event=login_check url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-08 15:32:11,094 | INFO | system=destination_jira event=login_submit url=http://jira.oblteh:8080/secure/Dashboard.jspa
